<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RI.RTSI,D,20010702,00:00:00,216.5100000,216.5900000,214.7900000,214.7900000,0
RI.RTSI,D,20010703,00:00:00,213.7400000,213.7400000,212.5400000,212.5400000,0
RI.RTSI,D,20010704,00:00:00,210.8600000,214.4200000,210.8600000,214.4200000,0
RI.RTSI,D,20010705,00:00:00,214.8800000,218.0800000,213.8500000,218.0800000,0
RI.RTSI,D,20010706,00:00:00,214.9400000,215.0400000,212.7400000,212.7400000,0
RI.RTSI,D,20010709,00:00:00,211.7600000,211.7600000,207.9600000,209.1900000,0
RI.RTSI,D,20010710,00:00:00,209.3400000,210.9900000,208.9100000,208.9100000,0
RI.RTSI,D,20010711,00:00:00,201.0200000,201.0200000,195.7300000,196.1300000,0
RI.RTSI,D,20010712,00:00:00,199.3400000,204.9800000,198.7400000,200.7600000,0
RI.RTSI,D,20010713,00:00:00,199.0300000,200.6300000,198.6900000,200.6300000,0
RI.RTSI,D,20010716,00:00:00,201.0100000,202.3500000,200.5700000,201.6100000,0
RI.RTSI,D,20010717,00:00:00,201.8700000,202.7000000,201.8700000,202.0300000,0
RI.RTSI,D,20010718,00:00:00,199.2300000,199.2300000,195.4300000,195.4300000,0
RI.RTSI,D,20010719,00:00:00,194.1800000,196.3100000,192.4900000,196.3100000,0
RI.RTSI,D,20010720,00:00:00,197.0500000,197.5800000,195.5800000,196.2000000,0
RI.RTSI,D,20010723,00:00:00,196.6200000,198.4100000,196.6200000,197.9800000,0
RI.RTSI,D,20010724,00:00:00,197.3900000,197.4300000,194.9400000,195.3300000,0
RI.RTSI,D,20010725,00:00:00,196.6900000,198.3500000,196.6900000,198.3500000,0
RI.RTSI,D,20010726,00:00:00,200.8500000,203.8200000,200.8500000,203.8200000,0
RI.RTSI,D,20010727,00:00:00,206.0100000,206.0400000,201.0500000,201.0500000,0
RI.RTSI,D,20010730,00:00:00,201.1000000,201.1000000,199.5700000,199.8200000,0
RI.RTSI,D,20010731,00:00:00,199.1600000,199.1600000,197.2800000,197.2800000,0
RI.RTSI,D,20010801,00:00:00,196.5900000,196.6000000,194.1700000,195.0800000,0
RI.RTSI,D,20010802,00:00:00,195.2800000,196.3900000,195.1200000,196.3900000,0
RI.RTSI,D,20010803,00:00:00,196.5100000,197.0000000,195.6100000,195.6100000,0
RI.RTSI,D,20010806,00:00:00,193.7600000,194.2500000,192.2400000,192.6900000,0
RI.RTSI,D,20010807,00:00:00,191.3000000,191.3000000,187.7400000,189.3800000,0
RI.RTSI,D,20010808,00:00:00,189.9200000,189.9600000,189.5700000,189.8700000,0
RI.RTSI,D,20010809,00:00:00,189.1800000,191.5600000,188.7900000,191.5600000,0
RI.RTSI,D,20010810,00:00:00,192.4000000,194.6100000,192.4000000,194.2100000,0
RI.RTSI,D,20010813,00:00:00,193.0900000,193.8400000,192.8200000,193.5400000,0
